Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_109.jpg;0;0;1;0;90.74713;79.29614;0.000265989;170.5087;-2.869175E-06
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_133.jpg;0;0;0;0;90.74714;79.29614;0.0002099187;170.5087;-3.359161E-06
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_196.jpg;8.927464;0;0;0;90.74714;79.29614;0.000175547;172.4323;-8.204504E-06
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_265.jpg;13.08314;0;0;0;90.74714;79.29614;0.0001527766;174.6594;-1.18366E-05
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_331.jpg;9.114254;0;0;0;90.74714;79.29614;0.0001347743;176.5382;-1.181256E-05
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_399.jpg;5.110725;0;0;0;90.74714;79.29614;0.000115345;178.0056;-9.766351E-06
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_464.jpg;1.124464;0;0;0;90.74714;79.29614;0.0001034778;178.3255;-5.58213E-06
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_530.jpg;0;0;0;0;90.74714;79.29614;9.61679E-05;178.3255;-1.160651E-06
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_598.jpg;0;0;0;0;90.74714;79.29614;9.126376E-05;178.3255;3.899755E-06
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_664.jpg;0;0;0;0;90.74714;79.29614;9.099439E-05;178.3255;6.839214E-06
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_730.jpg;0;0;0;0;90.74714;79.29614;9.322497E-05;178.3255;9.135965E-06
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_797.jpg;0;0;0;0;90.74714;79.29614;0.0001008884;178.3255;1.15121E-05
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_864.jpg;0;0;0;0;90.74714;79.29614;0.0001090854;178.3255;1.351869E-05
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_930.jpg;0;0;0;0;90.74714;79.29614;0.0001193364;178.3255;1.442321E-05
..\training_data\1\IMG\robocam_2017_05_29_19_57_54_997.jpg;0;0;0;0;90.74714;79.29614;0.0001347227;178.3255;1.510089E-05
