Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
..\training_data\5\IMG\robocam_2017_05_31_18_09_51_597.jpg;0;0;1;0;110.2707;162.4518;0.0002370539;104.1711;1.009075E-06
..\training_data\5\IMG\robocam_2017_05_31_18_09_51_659.jpg;0;0;0;0;110.2707;162.4518;0.0002369365;104.1711;9.295711E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_51_726.jpg;0;0;0;0;110.2707;162.4518;0.0002371516;104.1711;9.297177E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_51_793.jpg;2.007204;0;0;0;110.2707;162.4518;0.0002374995;104.412;9.162602E-08
..\training_data\5\IMG\robocam_2017_05_31_18_09_51_859.jpg;0;0;0;0;110.2707;162.4518;0.0002372676;104.412;-4.042123E-08
..\training_data\5\IMG\robocam_2017_05_31_18_09_51_926.jpg;0;0;0;0;110.2707;162.4518;0.0002368174;104.412;-1.986311E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_51_992.jpg;0;0;0;0;110.2707;162.4518;0.0002364796;104.412;-3.17286E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_058.jpg;0;0;0;0;110.2707;162.4518;0.0002361453;104.412;-4.094755E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_126.jpg;0;0;0;0;110.2707;162.4518;0.0002357084;104.412;-4.618071E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_192.jpg;0;0;0;0;110.2707;162.4518;0.0002353807;104.412;-5.010559E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_258.jpg;0;0;0;0;110.2707;162.4518;0.0002350631;104.412;-4.608952E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_325.jpg;0;0;0;0;110.2707;162.4518;0.0002346429;104.412;-3.8088E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_392.jpg;0;0;0;0;110.2707;162.4518;0.000234732;104.412;-5.266127E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_458.jpg;0;0;0;0;110.2707;162.4518;0.0002346228;104.412;-5.396956E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_525.jpg;0;0;0;0;110.2707;162.4518;0.0002345002;104.412;-6.586599E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_592.jpg;0;0;0;0;110.2707;162.4518;0.000234391;104.412;-6.717395E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_658.jpg;0;0;0;0;110.2707;162.4518;0.0002345002;104.412;-6.586599E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_725.jpg;0;0;0;0;110.2707;162.4518;0.000234722;104.412;-6.060221E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_792.jpg;0;0;0;0;110.2707;162.4518;0.0002348413;104.412;-5.135331E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_858.jpg;0;0;0;0;110.2707;162.4518;0.0002349706;104.412;-3.416312E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_924.jpg;0;0;0;0;110.2707;162.4518;0.0002352091;104.412;-1.566465E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_52_991.jpg;0;0;0;0;110.2707;162.4518;0.0002353384;104.412;1.525526E-08
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_057.jpg;0;0;0;0;110.2707;162.4518;0.000235471;104.412;2.136258E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_124.jpg;0;0;0;0;110.2707;162.4518;0.0002359213;104.412;3.718323E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_191.jpg;0;0;0;0;110.2707;162.4518;0.0002361666;104.412;6.097578E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_257.jpg;0;0;0;0;110.2707;162.4518;0.0002364118;104.412;8.476799E-07
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_324.jpg;0;0;0;0;110.2707;162.4518;0.0002368621;104.412;1.005893E-06
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_391.jpg;0;0;0;0;110.2707;162.4518;0.0002370148;104.412;1.363082E-06
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_457.jpg;0;0;0;0;110.2707;162.4518;0.0002371006;104.412;1.190875E-06
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_524.jpg;0;0;0;0;110.2707;162.4518;0.0002370973;104.412;1.164406E-06
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_591.jpg;0;0;0;0;110.2707;162.4518;0.0002369847;104.412;1.124854E-06
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_657.jpg;0;0;0;0;110.2707;162.4518;0.0002369947;104.412;1.204264E-06
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_724.jpg;0;0;0;0;110.2707;162.4518;0.0002370081;104.412;1.310142E-06
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_791.jpg;0;0;0;0;110.2707;162.4518;0.0002368955;104.412;1.27059E-06
..\training_data\5\IMG\robocam_2017_05_31_18_09_53_857.jpg;0;0;0;0;110.2707;162.4518;0.0002369056;104.412;1.349999E-06
