Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
..\training_data\2\IMG\robocam_2017_05_29_22_31_57_887.jpg;0;0;1;0;99.66999;85.58897;0.0002348068;56.82555;-7.688731E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_57_948.jpg;0;0;0;0;99.66999;85.58897;0.0002352159;56.82555;-6.470134E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_017.jpg;0;0;0;0;99.66999;85.58897;0.0002355227;56.82555;-5.556121E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_083.jpg;0;0;0;0;99.66999;85.58897;0.0002358296;56.82555;-4.642108E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_150.jpg;0;0;0;0;99.66999;85.58897;0.0002359319;56.82555;-4.337458E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_217.jpg;0;0;0;0;99.66999;85.58897;0.0002361364;56.82555;-3.72816E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_283.jpg;0;0;0;0;99.66999;85.58897;0.0002361473;56.82555;-3.550659E-08
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_350.jpg;0;0;0;0;99.66999;85.58897;0.0002362605;56.82555;3.322677E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_417.jpg;0;0;0;0;99.66999;85.58897;0.0002360864;56.82555;1.69052E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_483.jpg;0;0;0;0;99.66999;85.58897;0.0002360864;56.82555;1.690585E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_551.jpg;0;0;0;0;99.66999;85.58897;0.0002360864;56.82555;1.690585E-07
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_616.jpg;0;0.2000494;0;0;99.67022;85.58932;0.009463387;56.7635;1.626651E-05
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_683.jpg;0;0.3999706;0;0.01399372;99.67082;85.59026;0.03294156;56.82383;6.139251E-05
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_750.jpg;0;0.5992246;0;0.02969082;99.67398;85.59511;0.1527595;56.93186;-0.0002000805
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_817.jpg;0;0.7990379;0;0.05394586;99.678;85.60126;0.2975723;56.84038;-5.774389E-05
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_883.jpg;0;1;0;0.1289465;99.68401;85.61047;0.4974651;56.99213;-0.001622925
..\training_data\2\IMG\robocam_2017_05_29_22_31_58_948.jpg;0;1;0;0.1795349;99.69576;85.6284;0.8356342;57.03337;-0.001532553
..\training_data\2\IMG\robocam_2017_05_29_22_31_59_014.jpg;0;1;0;0.2253453;99.7062;85.64448;1.091253;57.10971;-0.0002700015
..\training_data\2\IMG\robocam_2017_05_29_22_31_59_081.jpg;0;1;0;0.2895722;99.7179;85.66236;1.307194;56.96981;-0.0006979547
..\training_data\2\IMG\robocam_2017_05_29_22_31_59_151.jpg;0;1;0;0.3358676;99.73275;85.6849;1.219307;57.0032;-0.001642419
..\training_data\2\IMG\robocam_2017_05_29_22_31_59_214.jpg;0;1;0;0.3999732;99.74553;85.70426;1.096496;56.9285;0.001018712
..\training_data\2\IMG\robocam_2017_05_29_22_31_59_282.jpg;0;1;0;0.473028;99.7606;85.72723;1.049435;56.94464;-0.0005706032
..\training_data\2\IMG\robocam_2017_05_29_22_31_59_349.jpg;0;1;0;0.5174347;99.78384;85.76274;1.073624;57.01195;7.703991E-05
..\training_data\2\IMG\robocam_2017_05_29_22_31_59_415.jpg;0;1;0;0.5768092;99.80376;85.79314;1.151218;56.98257;-0.0008699307
..\training_data\2\IMG\robocam_2017_05_29_22_31_59_480.jpg;0;1;0;0.6310298;99.82547;85.82626;1.242477;57.11311;-0.002897642
..\training_data\2\IMG\robocam_2017_05_29_22_31_59_547.jpg;0;1;0;0.6707248;99.85538;85.87188;1.224456;57.1137;-0.001040614
