Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_032.jpg;0;1;0;2.705331;114.5218;15.49631;1.349049;94.24719;-0.001255559
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_098.jpg;0;1;0;2.761396;114.5102;15.66183;1.358071;94.23367;-0.001413786
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_165.jpg;0;1;0;2.803851;114.4945;15.88616;1.352135;94.21664;-0.001390427
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_231.jpg;2.994911;1;0;2.845702;114.4815;16.05735;1.353998;94.40875;-0.002274314
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_298.jpg;6.012606;1;0;2.900143;114.4656;16.23064;1.349847;94.94901;0.01075893
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_365.jpg;5.969943;1;0;2.939095;114.439;16.46416;1.304401;96.15991;0.05906738
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_432.jpg;2.960464;1;0;2.981405;114.4175;16.64186;1.259246;96.84262;0.07254412
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_498.jpg;0;1;0;3.037174;114.3957;16.82234;1.232052;97.16711;0.06832401
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_565.jpg;0;1;0;3.07727;114.3661;17.06771;1.250743;97.23645;0.05175044
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_631.jpg;0;1;0;3.117327;114.3435;17.25509;1.298273;97.2222;0.03004378
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_698.jpg;0;1;0;3.170583;114.3205;17.44517;1.364477;97.19571;-0.0008842399
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_764.jpg;0;1;0;3.210245;114.2889;17.70135;1.398201;97.1777;-0.001609055
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_831.jpg;0;1;0;3.252417;114.2652;17.89594;1.396132;97.15982;-0.001623545
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_898.jpg;0;1;0;3.306506;114.2412;18.0929;1.390588;97.14709;-0.001127687
..\training_data\3\IMG\robocam_2017_05_29_23_41_12_964.jpg;0;1;0;3.346955;114.209;18.3594;1.3925;97.1243;-0.001563861
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_031.jpg;0;1;0;3.386846;114.1845;18.56213;1.39826;97.10751;-0.001585516
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_098.jpg;0;1;0;3.43995;114.1599;18.76722;1.402546;97.09161;-0.001491482
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_164.jpg;0;1;0;3.479141;114.1266;19.04432;1.405674;97.07004;-0.001505496
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_231.jpg;0;1;0;3.518615;114.1014;19.25492;1.409527;97.05313;-0.001523627
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_297.jpg;0;1;0;3.571565;114.076;19.46788;1.413735;97.03586;-0.001536633
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_364.jpg;0;1;0;3.610345;114.0418;19.75539;1.414424;97.01334;-0.001549364
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_431.jpg;0;1;0;3.649791;114.0159;19.9738;1.418299;96.99484;-0.001665262
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_497.jpg;0;1;0;3.701053;113.9898;20.19452;1.421176;96.97665;-0.001689351
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_564.jpg;0;1;0;3.739811;113.9546;20.49248;1.428034;96.95187;-0.001600956
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_631.jpg;0;0.8009705;0;3.777395;113.9281;20.71829;1.426618;96.9343;-0.001106173
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_697.jpg;0;0.6007466;0;3.8131;113.9015;20.94552;1.420224;96.91144;-0.001055068
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_764.jpg;0;0.4007702;0;3.828841;113.866;21.24928;1.37614;96.87793;-0.0009682116
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_830.jpg;0;0.2020294;0;3.836247;113.8396;21.47674;1.301882;96.85263;-0.000868125
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_897.jpg;0;0.00147064;0;3.831319;113.8134;21.70311;1.182938;96.82803;-0.0007395256
..\training_data\3\IMG\robocam_2017_05_29_23_41_13_963.jpg;0;0;0;3.81975;113.7787;22.0027;0.9568105;96.79749;-0.000429975
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_030.jpg;0;0;0;3.807561;113.753;22.22588;0.7508348;96.77661;4.259228E-06
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_096.jpg;0;0;0;3.791224;113.7273;22.44798;0.526168;96.75974;0.004467669
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_163.jpg;0;0;0;3.778986;113.693;22.74273;0.2144778;96.74469;0.02078788
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_230.jpg;0;0;0;3.766588;113.6672;22.96292;359.9825;96.73935;0.04145075
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_297.jpg;0;0;0;3.749495;113.642;23.18333;359.8036;96.71927;0.0206171
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_363.jpg;0;0;0;3.736326;113.608;23.4765;359.5968;96.69879;359.9815
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_429.jpg;0;0;0;3.723091;113.5818;23.69604;359.4811;96.70639;359.9916
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_496.jpg;0;0;0;3.70539;113.5556;23.91516;359.3873;96.71808;0.01494494
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_563.jpg;0;0;0;3.692349;113.5215;24.20674;359.2936;96.71735;0.02457426
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_627.jpg;0;0;0;3.678713;113.4961;24.42501;359.2522;96.70932;0.009382053
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_693.jpg;0;0;0;3.661889;113.4705;24.64254;359.2127;96.70697;5.723825E-05
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_759.jpg;0;0;0;3.649368;113.4448;24.85962;359.1932;96.71033;0.00142676
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_829.jpg;0;0;0;3.635485;113.4107;25.14844;359.2016;96.71365;0.005414971
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_895.jpg;0;0;0;3.618929;113.3853;25.36416;359.2058;96.7142;0.006597708
..\training_data\3\IMG\robocam_2017_05_29_23_41_14_962.jpg;0;0;0;3.606582;113.3516;25.65059;359.2087;96.71436;0.007650474
..\training_data\3\IMG\robocam_2017_05_29_23_41_15_029.jpg;0;0;0;3.593544;113.3265;25.86517;359.2483;96.70975;-0.004618055
..\training_data\3\IMG\robocam_2017_05_29_23_41_15_096.jpg;0;0;0;3.576752;113.3014;26.07883;359.2787;96.7085;359.9873
..\training_data\3\IMG\robocam_2017_05_29_23_41_15_162.jpg;0;0;0;3.564593;113.268;26.36241;359.3088;96.70816;359.9788
..\training_data\3\IMG\robocam_2017_05_29_23_41_15_229.jpg;0;0;0;3.55249;113.2431;26.57412;359.3238;96.70816;359.9736
..\training_data\3\IMG\robocam_2017_05_29_23_41_15_295.jpg;0;0;0;3.535579;113.2178;26.78544;359.3633;96.71997;0.001715687
..\training_data\3\IMG\robocam_2017_05_29_23_41_15_362.jpg;0;0;0;3.52355;113.1847;27.06584;359.3989;96.72318;0.02302605
..\training_data\3\IMG\robocam_2017_05_29_23_41_15_429.jpg;0;0;0;3.511621;113.1601;27.27513;359.4147;96.72363;0.03592113
..\training_data\3\IMG\robocam_2017_05_29_23_41_15_495.jpg;0;0.2011861;0;3.498369;113.1357;27.48403;359.438;96.71832;0.03466313
